YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE
2023,6,4,UConn,76,5,San Diego St.,59
2023,5,4,UConn,72,5,Miami (FL),59
2023,5,5,San Diego St.,72,9,FAU,71
2023,4,5,San Diego St.,57,6,Creighton,56
2023,4,9,FAU,79,3,Kansas St.,76
2023,4,4,UConn,82,3,Gonzaga,54
2023,4,5,Miami (FL),88,2,Texas,81
2023,3,6,Creighton,86,15,Princeton,75
2023,3,5,San Diego St.,71,1,Alabama,64
2023,3,3,Kansas St.,98,7,Michigan St.,93
2023,3,9,FAU,62,4,Tennessee,55
2023,3,3,Gonzaga,79,2,UCLA,76
2023,3,4,UConn,88,6,Arkansas,65
2023,3,2,Texas,83,3,Xavier,71
2023,3,5,Miami (FL),89,1,Houston,75
2023,2,15,Princeton,78,7,Missouri,63
2023,2,6,Creighton,85,3,Baylor,76
2023,2,5,San Diego St.,75,13,Furman,52
2023,2,1,Alabama,73,8,Maryland,51
2023,2,7,Michigan St.,69,2,Marquette,60
2023,2,3,Kansas St.,75,6,Kentucky,69
2023,2,4,Tennessee,65,5,Duke,52
2023,2,9,FAU,78,16,FDU,70
2023,2,2,UCLA,68,7,Northwestern,63
2023,2,3,Gonzaga,84,6,TCU,81
2023,2,4,UConn,70,5,Saint Mary’s,55
2023,2,8,Arkansas,72,1,Kansas,71
2023,2,2,Texas,71,10,Penn St.,66
2023,2,3,Xavier,84,11,Pittsburgh,73
2023,2,5,Miami (FL),85,4,Indiana,69
2023,2,1,Houston,81,9,Auburn,64
2023,1,15,Princeton,59,2,Arizona,55
2023,1,7,Missouri,76,10,Utah St.,65
2023,1,3,Baylor,74,14,UCSB,56
2023,1,6,Creighton,72,11,NC State,63
2023,1,13,Furman,68,4,Virginia,67
2023,1,5,San Diego St.,63,12,Col of Charleston,57
2023,1,8,Maryland,67,9,West Virginia,65
2023,1,1,Alabama,96,16,Texas A&M-CC,75
2023,1,2,Marquette,78,15,Vermont,61
2023,1,7,Michigan St.,72,10,USC,62
2023,1,3,Kansas St.,77,14,Montana St.,65
2023,1,6,Kentucky,61,11,Providence,53
2023,1,4,Tennessee,58,13,Louisiana,55
2023,1,5,Duke,74,12,Oral Roberts,51
2023,1,9,FAU,66,8,Memphis,65
